ids,times,stars,previews,likes
Enjolras,2020-10-12 07:27:09,10,郭敬明看到就想吐。,11,
盒子,2020-10-11 00:38:04,20,四星，郭敬明拉低了节目的水准，他的狡辩和洒狗血一样的裹挟价值观太可笑了，那只能骗骗小孩子。就是这种烂导演才让那么多烂偶像站在台前变成烂演员。还有那个拉偏架的大鹏，不觉着羞耻吗,29,
艺术家一礼拜了,2020-11-04 21:40:37,10,评委和主持人展现了丑陋众生相，节目组展现了鹅厂无下限的三观。看到让人产生心理生理不适，这种毫无底线的用力和毫无廉耻的勇气，我也是佩服这样一个节目的主创团队和主管部门的。,11,
字母大大,2020-10-03 23:18:14,20,这个扯淡的节目又来了。无名演员来博出位，小名气演员来拼上游，大牌点演员来反向翻车带流浪。外行导演来造话题，内行导演来教学普及。新人公司拿这个当通道捧自己的人，制片人拿这个当行业风向和标准。节目制作单位披着演员的外衣搞项目。这节目看完就两个结论，导演这工作难度其实难度真不大，和其他行业是一样一样的，当个头部不容易，当个一般导演真谈不上多难。另外无论他们怎么聊这那理念，全是她妈扯鸡巴蛋，和真正的演戏和导戏没卵关系。乐呵乐呵得了，就酱。,24,
GT,2020-10-24 22:56:01,10,全程商业互吹！口水节目，商业街目，浮于表面的互吹节目。能不能有真话了？！黄奕爱听好话，全部给她讲好话；《误杀》这段真的不好，非要夸成一枝花。演员全在那里说自己不容易，却不去对他们的专业水准有要求。口水节目，商业街目，浮于表面的互吹节目。谁为观众说话？为观众负责？只有李成儒老师了。然而李成儒老师还被他们欺负。垃圾节目，越来越差，越来越假。全是商业互吹。。。,15,
credence,2020-10-02 23:46:01,20,第一集是资本瞎捧的生动表现,22,
No Words,2020-10-14 22:39:38,10,这大鹏和郭敬明还有赵薇就离谱，三个王八蛋一样的人物。瞎了一群好演员了。大鹏和郭敬明的黑料就不说了，怎么能够这么垃圾，还有这些演员，导演组是先睡的再让小四睡了选出来这么些畸形种嘛，还有那张大大，我是没想到五花肉都会偷东西了。这节目组是纯粹的三流，制造噱头现在是个人都能看出来，剪辑学的有嘻哈的司马剪辑嘛。这些有作品的导演是咋让整上来的就好奇,12,
姁茈,2020-10-18 20:31:42,10,这个节目让我见识了翻云覆雨的小四，也看到了茶里茶气的大鹏，奇怪的cp又增加了呢🤷‍♂️,11,
tt,2020-10-25 23:25:44,20,只有第一期是好看的，越往后越不对味，根本不是发掘演员和演技的综艺，还是满满的炒作，到后面甚至演变成四个导演报团互吹，怼唯一敢说真话的李成儒，真的有被恶心到了,19,
旁观者,2020-11-16 00:41:34,20,何昶希演的是什麼玩意？？？？？？呆若木墩，演成這樣還每次都拿S卡，是不是陳學冬正室不保，郭4移情別戀了？？？？？？？,13,
冷冷之初,2020-10-11 10:45:14,20,被爾冬升圈粉。本来打算为他继续追下去。但昨天小四和大鹏的操作把我惊呆了。小四公费选妃一贯作风，大鹏是在干什么啊，偷换概念还站队。李诚儒明明说插话是没大没小没礼貌。他拉偏架非给人上升到前辈打击晚辈的工作能力，根本就是两码事。这种没有一点点主持素养乐于当JSG的人居然还是以主持人身份出道的，想想就觉得魔幻。还不如演员出身的沙溢会主持。,16,
无耻不混蛋,2020-11-17 15:12:31,10,就冲郭敬明连着三次给毫无演技可言的何昶希S卡，这节目就只值一星。,7,
校长,2020-10-10 22:35:25,20,郭敬明帮何昶希仇恨值拉满了演员的门槛真是够低哈，木头也能演戏,18,
shininglove,2020-10-09 16:44:04,30,刚入行时，曾经被尔冬升导演“骂”过，很感激他，实话不好听，但中肯。,14,
一根麻花,2020-10-02 21:48:59,10,刚看完下期预告，李诚儒和郭敬明又干起来了。我谁都不是谁的粉丝，但真的，我总感觉李诚儒的语气和表情，动作什么的，有在针对郭敬明。不知道郭敬明要给谁S卡，但前面赵薇给施博宇S的时候也没跟其他人商量啊…也没见他说话啊,0,
无限循环小数,2020-10-11 00:35:02,20,没有规则的节目➕拉偏架的主持人,14,
JL丨兀,2020-11-01 05:33:07,10,这综艺看点评环节的，你要是真想腾讯去做个真真正正的演员节目，得了吧，下辈子。就这最新一期，陈凯歌居然给姓陈的那位idol评A？这是多么奇葩的事情！《甄嬛传》剧目里演得最垃圾的就是他，点评环节陈凯歌还一个劲的洒鸡汤，最后以鼓励新人给A晋级？？？直接打脸自己之前说过的话。这要没内幕，没后台我还真不信。还有《门徒》那里，姓王的年轻演员演的有气无力没内心戏没眼神的阿力，有两位导演能给S？这是专捧新人，还是内幕走起？,14,
姁茈,2020-10-18 20:31:42,10,这个节目让我见识了翻云覆雨的小四，也看到了茶里茶气的大鹏，奇怪的cp又增加了呢🤷‍♂️,11,
无耻不混蛋,2020-11-17 15:12:31,10,就冲郭敬明连着三次给毫无演技可言的何昶希S卡，这节目就只值一星。,7,
一根麻花,2020-10-02 21:48:59,10,刚看完下期预告，李诚儒和郭敬明又干起来了。我谁都不是谁的粉丝，但真的，我总感觉李诚儒的语气和表情，动作什么的，有在针对郭敬明。不知道郭敬明要给谁S卡，但前面赵薇给施博宇S的时候也没跟其他人商量啊…也没见他说话啊,0,
JL丨兀,2020-11-01 05:33:07,10,这综艺看点评环节的，你要是真想腾讯去做个真真正正的演员节目，得了吧，下辈子。就这最新一期，陈凯歌居然给姓陈的那位idol评A？这是多么奇葩的事情！《甄嬛传》剧目里演得最垃圾的就是他，点评环节陈凯歌还一个劲的洒鸡汤，最后以鼓励新人给A晋级？？？直接打脸自己之前说过的话。这要没内幕，没后台我还真不信。还有《门徒》那里，姓王的年轻演员演的有气无力没内心戏没眼神的阿力，有两位导演能给S？这是专捧新人，还是内幕走起？,14,
胡汉三又回来了,2020-10-02 21:45:24,10,尔冬升不错，其他人都在干什么,16,
小知,2020-10-10 23:37:50,10,因为gjm的存在我只能给1星,11,
